Bridge of Dawn Subtitles (en-us)
Cue,Speaker,Lines
32,Mother,"Hearing that, Vulpes jumped up with great alacrity and asked"
33,Vulpes,Live forever?! — how can I do that?
34a,Beatrice,It’d be easy for you.
34b,Beatrice,All you have to do is run and catch the sun before it sets.
34c,Beatrice,"If you ask nicely, I’m sure it’ll tell you where the Bridge of Dawn is."
35,Vulpes,"Is that all? Well, I must make haste. The sun has nearly set."
36a,Beatrice,"Oh, but you must remember,"
36b,Beatrice,the world has many timekeepers who wouldn’t want you to outsmart their scheme.
37a,Vulpes,"No worries, dear crow."
37b,Vulpes,I am much too fast for any of them to catch.
38a,Beatrice,"Well then, little fox, go and catch the sun before it sets!"
38b,Beatrice,"Run, Vulpes, run!"
39,Mother,"And run, Vulpes, did, just as fast as he could."
40a,Mother,"When he reached the bottom of the forest,"
40b,Mother,Vulpes saw that it was night and that the sun had disappeared below the horizon.
40c,Mother,"He was dismayed, for he had been sure he would catch the sun."
40d,Mother,"And it was just then that a beautiful, lavender-colored deer named Helen Hooves walked up and asked Vulpes"
41,Helen,"What’s wrong, fox?"
42a,Vulpes,"Well, you see: I ran as fast as I could,"
42b,Vulpes,but somehow I couldn’t catch it.
43,Helen,Catch what?
44,Vulpes,"The sun, of course."
45,Mother,"At this, Helen hooted with laughter and Vulpes, who was already red as an apple, blushed wildly."
46,Helen,And why on Earth would you do such a thing?
47,Vulpes,"To find the Bridge of Dawn, ma’am."
48,Helen,"Oh my dear fox, don’t you know there’s an easy way to find things?"
49,Vulpes,Oh? What’s that?
50a,Helen,"Well, old Tabitha Tusk knows the whereabouts of all things."
50b,Helen,She can tell you right where it is.
51,Vulpes,Really? And where is Tabitha Tusk?
52a,Helen,"At midnight on full moons, Tabitha comes to the crossroads just past the marshes."
52b,Helen,Maybe you can find her there next month.
53,Vulpes,Next month? Tonight is a full moon!
54a,Helen,But it’s just minutes ‘til midnight.
54b,Helen,You’ll never make it.
55,Vulpes,"Oh? Just watch me, ma’am. And thank you!"
56,Mother,"And, like a bolt of lightning, Vulpes darted through the marshes towards the crossroads!"
57a,Mother,"When Vulpes reached the crossroads at the nick of time,"
57b,Mother,"he was astonished to see old Tabitha Tusk, a fabulously hirsute Wooly Mammoth."
57c,Mother,"In fact, so astonished was Vulpes,"
57d,Mother,that he could do nothing but gape at the majestic mammoth until she spoke to him.
58,Tabitha,Well? Did you come to make a deal or not?
59,Vulpes,"A deal? No, I just have questions."
60,Tabitha,"Then ask, fox, for I know all things of this world."
61,Vulpes,Do you know where the Bridge of Dawn is?
62,Tabitha,What’s that? What are you asking for?
63a,Vulpes,The Bridge of Dawn.
63b,Vulpes,I thought you said you knew all things.
64a,Tabitha,Say it one more time.
64b,Tabitha,What is that you seek?
65,Vulpes,Where is the Bridge of Dawn?
66a,Tabitha,"Ah, so you do want to make a deal."
66b,Tabitha,Here are my terms:
66c,Tabitha,"Reach the top of that hill before the rooster crows, and you will find the bridge you seek."
67a,Mother,Vulpes chortled and grinned at Tabitha’s proposal.
67b,Mother,"Never had he been so confident, and he almost immediately started up the hill, saying"
68,Vulpes,I’ll be there in the blink of an eye.
69,Tabitha,Don’t you want to know what I get if you fail?
70,Vulpes,"No need, ma’am. There’s not a chance of it."
71,Mother,"And just like that, up the hill Vulpes ran."
72a,Mother,"Suddenly, Vulpes heard someone behind him."
72b,Mother,He spun around like the wind and saw a radiant golden woman who smiled at him and asked
73,Aurora,"Can you see it across the horizon, Vulpes?"
74,Vulpes,"How do you know my name, Mistian?"
75a,Aurora,"I am no Mistian, Vulpes."
75b,Aurora,I am Lady Aurora and I know what you seek.
76,Vulpes,Can you show me the Bridge of Dawn?
77,Aurora,Yes. But you must tell me why you seek it.
78a,Vulpes,Because I want to live without doubts or fears or uncertainties.
78b,Vulpes,"I know that one day my life will end,"
78c,Vulpes,and thus I want to never run out of space under the light of the sun.
79a,Aurora,Life is its cares and limitations.
79b,Aurora,"You see, Vulpes, life must run out of space."
79c,Aurora,There is only one way to live forever.
80,Vulpes,What way is that?
81,Aurora,"It is for life to renew the same space, and thus reawaken itself forever."
82,Vulpes,But how do I do that?
83,Aurora,"You must cross the Bridge of Dawn, Vulpes."
84a,Mother,Then Lady Aurora extended her hand and a great bridge of clouds spanned up into the heavens towards the mounting sunrise.
84b,Mother,"Vulpes looked back at Lady Aurora, but she was gone and all that remained was the celestial path ahead."
84c,Mother,"He stepped from the cliff onto one floating cloud, and was greatly comforted by its stability."
84d,Mother,"But, then, the cloud dispersed, breaking into droplets and Vulpes tumbled back to the edge of the cliff."
84e,Mother,"Vulpes knew now that if he was going to cross the Bridge of Dawn, he’d have to be as fast as light."
84f,Mother,"And, it just so happened, he was."
85,Boy,What happened when he crossed the Bridge of Dawn?
86,Mother,He found himself right back where he started.
87,Boy,I don’t understand. Did he live forever?
88,Mother,What do you think?
89a,Boy,I don’t know. But it sounds like living forever wasn’t what he thought it would be.
89b,Boy,What do you think?
90a,Mother,I think you’re my forever.
90b,Mother,I love you. Goodnight.
91,Boy,"I love you, too. Goodnight."
